Disaster Type,Latitude,Longitude,Total Deaths,Total Affected,duration,time,Rainfall,Elevation,Slope,distance,occured
0,52.6717,-0.2995,300.0,3000.0,0.0,1900,1383.125626056873,11.0,1.788206934928894,0.0,1
0,35.6897,139.692,1379.0,13790.0,0.0,1909,1383.125626056873,49.0,24.356508255004883,0.0,1
0,39.905,116.391,100000.0,1000000.0,0.0,1909,580.345856025815,55.0,8.374380111694336,0.0,1
0,23.1288,113.259,0.0,3000000.0,0.0,1912,2993.401776999235,7.0,12.917221069335938,0.0,1
0,39.1467,117.206,0.0,635000.0,0.0,1913,1383.125626056873,3.0,1.5130925178527832,0.0,1
0,-38.1225469,145.1965072,1000.0,10000.0,0.0,1922,1383.125626056873,60.0,0.9274099469184875,0.0,1
0,39.4735045,-85.9228997,0.0,0.0,0.0,1923,1383.125626056873,227.0,2.209028959274292,0.0,1
0,50.7806267,5.4639172,0.0,140000.0,0.0,1923,1383.125626056873,108.0,1.4665502309799194,0.0,1
0,35.9333,0.0903,3000.0,30000.0,0.0,1924,1383.125626056873,111.0,3.554819345474243,0.0,1
0,18.8753058,78.0356526,36.0,2000.0,0.0,1925,1383.125626056873,330.0,0.0,241.86773244895647,1
0,50.8472207,4.3815176,0.0,6000.0,0.0,1925,1383.125626056873,60.0,4.770338535308838,0.0,1
0,44.0181,1.3558,230.0,16200.0,0.0,1926,1383.125626056873,108.0,6.679843425750732,0.0,1
0,39.905,116.391,3700000.0,37000000.0,60.0,1928,580.345856025815,55.0,8.374380111694336,0.0,1
0,17.9714,-76.7931,53.0,530.0,0.0,1929,1383.125626056873,13.0,3.065780639648437,0.0,1
0,30.4019,-91.002,18000.0,3600000.0,0.0,1930,1383.125626056873,17.0,2.1431427001953125,0.0,1
0,39.905,116.391,142000.0,10030000.0,0.0,1931,580.345856025815,55.0,8.374380111694336,0.0,1
0,40.9699889,-77.7278831,200.0,2000.0,0.0,1931,1076.623199507594,228.0,2.4552531242370605,0.0,1
0,40.5425,-80.0926,137.0,1370.0,0.0,1932,1383.125626056873,362.0,6.352072238922119,0.0,1
0,35.9999972,75.0000023,111.0,1110.0,0.0,1933,1383.125626056873,4674.0,37.86442947387695,0.0,1
0,-39.0221668,177.8592747,21.0,210.0,0.0,1934,1383.125626056873,16.0,2.3862850666046143,0.0,1
0,10.9113667,124.4778374,500000.0,5000000.0,0.0,1934,1383.125626056873,244.0,10.096575736999512,0.0,1
